TXNAME,GENEID
DN_NonamEVm001186t1,DN_NonamEVm001186
DN_NonamEVm001186t2,DN_NonamEVm001186
DN_NonamEVm001186t3,DN_NonamEVm001186
DN_NonamEVm001186t7,DN_NonamEVm001186
DN_NonamEVm001186t8,DN_NonamEVm001186
DN_NonamEVm001188t4,DN_NonamEVm001188
DN_NonamEVm001188t5,DN_NonamEVm001188
DN_NonamEVm001188t6,DN_NonamEVm001188
DN_NonamEVm001188t7,DN_NonamEVm001188
DN_NonamEVm001202t1,DN_NonamEVm001202
DN_NonamEVm001202t4,DN_NonamEVm001202
DN_NonamEVm001202t6,DN_NonamEVm001202
DN_NonamEVm001205t1,DN_NonamEVm001205
DN_NonamEVm001210t1,DN_NonamEVm001210
DN_NonamEVm001210t2,DN_NonamEVm001210
DN_NonamEVm001210t3,DN_NonamEVm001210
DN_NonamEVm001210t9,DN_NonamEVm001210
DN_NonamEVm001222t1,DN_NonamEVm001222
DN_NonamEVm001222t2,DN_NonamEVm001222
DN_NonamEVm001222t3,DN_NonamEVm001222
DN_NonamEVm001222t7,DN_NonamEVm001222
DN_NonamEVm001222t9,DN_NonamEVm001222
DN_NonamEVm001237t1,DN_NonamEVm001237
DN_NonamEVm001237t3,DN_NonamEVm001237
DN_NonamEVm001237t4,DN_NonamEVm001237
DN_NonamEVm001237t5,DN_NonamEVm001237
DN_NonamEVm001237t7,DN_NonamEVm001237
DN_NonamEVm001237t9,DN_NonamEVm001237
DN_NonamEVm001248t1,DN_NonamEVm001248
DN_NonamEVm001255t1,DN_NonamEVm001255
DN_NonamEVm001255t2,DN_NonamEVm001255
DN_NonamEVm001262t1,DN_NonamEVm001262
DN_NonamEVm001262t6,DN_NonamEVm001262
DN_NonamEVm001263t5,DN_NonamEVm001263
DN_NonamEVm001280t1,DN_NonamEVm001280
DN_NonamEVm001280t2,DN_NonamEVm001280
DN_NonamEVm001312t1,DN_NonamEVm001312
DN_NonamEVm001312t2,DN_NonamEVm001312
DN_NonamEVm001312t3,DN_NonamEVm001312
DN_NonamEVm001312t4,DN_NonamEVm001312
DN_NonamEVm001323t1,DN_NonamEVm001323
DN_NonamEVm001323t2,DN_NonamEVm001323
DN_NonamEVm001323t5,DN_NonamEVm001323
DN_NonamEVm001330t1,DN_NonamEVm001330
DN_NonamEVm001330t2,DN_NonamEVm001330
DN_NonamEVm001339t1,DN_NonamEVm001339
DN_NonamEVm001347t1,DN_NonamEVm001347
DN_NonamEVm001347t3,DN_NonamEVm001347
DN_NonamEVm001347t5,DN_NonamEVm001347
DN_NonamEVm001347t6,DN_NonamEVm001347
DN_NonamEVm001347t7,DN_NonamEVm001347
DN_NonamEVm001347t8,DN_NonamEVm001347
DN_NonamEVm001347t9,DN_NonamEVm001347
DN_NonamEVm001364t1,DN_NonamEVm001364
DN_NonamEVm001364t3,DN_NonamEVm001364
DN_NonamEVm001364t4,DN_NonamEVm001364
DN_NonamEVm001371t1,DN_NonamEVm001371
DN_NonamEVm001371t3,DN_NonamEVm001371
DN_NonamEVm001371t7,DN_NonamEVm001371
DN_NonamEVm001379t2,DN_NonamEVm001379
DN_NonamEVm001381t1,DN_NonamEVm001381
DN_NonamEVm001381t2,DN_NonamEVm001381
DN_NonamEVm001399t1,DN_NonamEVm001399
DN_NonamEVm001399t2,DN_NonamEVm001399
DN_NonamEVm001399t3,DN_NonamEVm001399
DN_NonamEVm001402t1,DN_NonamEVm001402
DN_NonamEVm001402t2,DN_NonamEVm001402
DN_NonamEVm001428t1,DN_NonamEVm001428
DN_NonamEVm001428t2,DN_NonamEVm001428
DN_NonamEVm001439t1,DN_NonamEVm001439
DN_NonamEVm001439t3,DN_NonamEVm001439
DN_NonamEVm001451t4,DN_NonamEVm001451
DN_NonamEVm001467t1,DN_NonamEVm001467
DN_NonamEVm001491t1,DN_NonamEVm001491
DN_NonamEVm001491t3,DN_NonamEVm001491
DN_NonamEVm001491t4,DN_NonamEVm001491
DN_NonamEVm001491t5,DN_NonamEVm001491
DN_NonamEVm001491t8,DN_NonamEVm001491
DN_NonamEVm001523t1,DN_NonamEVm001523
DN_NonamEVm001523t2,DN_NonamEVm001523
DN_NonamEVm001523t4,DN_NonamEVm001523
DN_NonamEVm001523t5,DN_NonamEVm001523
DN_NonamEVm001585t2,DN_NonamEVm001585
DN_NonamEVm001585t4,DN_NonamEVm001585
DN_NonamEVm001589t1,DN_NonamEVm001589
DN_NonamEVm001589t2,DN_NonamEVm001589
DN_NonamEVm001589t3,DN_NonamEVm001589
DN_NonamEVm001589t9,DN_NonamEVm001589
DN_NonamEVm001591t4,DN_NonamEVm001591
DN_NonamEVm001594t2,DN_NonamEVm001594
DN_NonamEVm001594t5,DN_NonamEVm001594
DN_NonamEVm001594t7,DN_NonamEVm001594
DN_NonamEVm001613t1,DN_NonamEVm001613
DN_NonamEVm001613t3,DN_NonamEVm001613
DN_NonamEVm001620t1,DN_NonamEVm001620
DN_NonamEVm001620t2,DN_NonamEVm001620
DN_NonamEVm001620t5,DN_NonamEVm001620
DN_NonamEVm001620t6,DN_NonamEVm001620
DN_NonamEVm001620t7,DN_NonamEVm001620
DN_NonamEVm001622t1,DN_NonamEVm001622
DN_NonamEVm001622t2,DN_NonamEVm001622
DN_NonamEVm001622t4,DN_NonamEVm001622
DN_NonamEVm001629t1,DN_NonamEVm001629
DN_NonamEVm001629t4,DN_NonamEVm001629
DN_NonamEVm001629t6,DN_NonamEVm001629
DN_NonamEVm001629t8,DN_NonamEVm001629
DN_NonamEVm001662t1,DN_NonamEVm001662
DN_NonamEVm001662t2,DN_NonamEVm001662
DN_NonamEVm001662t4,DN_NonamEVm001662
DN_NonamEVm001673t1,DN_NonamEVm001673
DN_NonamEVm001673t5,DN_NonamEVm001673
DN_NonamEVm001673t6,DN_NonamEVm001673
DN_NonamEVm001673t7,DN_NonamEVm001673
DN_NonamEVm001673t8,DN_NonamEVm001673
DN_NonamEVm001673t9,DN_NonamEVm001673
DN_NonamEVm001681t2,DN_NonamEVm001681
DN_NonamEVm001681t6,DN_NonamEVm001681
DN_NonamEVm001687t2,DN_NonamEVm001687
DN_NonamEVm001687t4,DN_NonamEVm001687
DN_NonamEVm001687t8,DN_NonamEVm001687
DN_NonamEVm001697t2,DN_NonamEVm001697
DN_NonamEVm001697t4,DN_NonamEVm001697
DN_NonamEVm001697t6,DN_NonamEVm001697
DN_NonamEVm001697t7,DN_NonamEVm001697
DN_NonamEVm001710t2,DN_NonamEVm001710
DN_NonamEVm001710t3,DN_NonamEVm001710
DN_NonamEVm001722t1,DN_NonamEVm001722
DN_NonamEVm001722t4,DN_NonamEVm001722
DN_NonamEVm001722t9,DN_NonamEVm001722
DN_NonamEVm001733t1,DN_NonamEVm001733
DN_NonamEVm001733t3,DN_NonamEVm001733
DN_NonamEVm001733t4,DN_NonamEVm001733
DN_NonamEVm001745t1,DN_NonamEVm001745
DN_NonamEVm001745t2,DN_NonamEVm001745
DN_NonamEVm001745t3,DN_NonamEVm001745
DN_NonamEVm001745t9,DN_NonamEVm001745
DN_NonamEVm001754t1,DN_NonamEVm001754
DN_NonamEVm001759t2,DN_NonamEVm001759
DN_NonamEVm001771t7,DN_NonamEVm001771
DN_NonamEVm001781t1,DN_NonamEVm001781
DN_NonamEVm001781t2,DN_NonamEVm001781
DN_NonamEVm001781t3,DN_NonamEVm001781
DN_NonamEVm001781t4,DN_NonamEVm001781
DN_NonamEVm001781t5,DN_NonamEVm001781
DN_NonamEVm001781t8,DN_NonamEVm001781
DN_NonamEVm001781t9,DN_NonamEVm001781
DN_NonamEVm001784t1,DN_NonamEVm001784
DN_NonamEVm001786t1,DN_NonamEVm001786
DN_NonamEVm001786t5,DN_NonamEVm001786
DN_NonamEVm001786t6,DN_NonamEVm001786
DN_NonamEVm001822t1,DN_NonamEVm001822
DN_NonamEVm001822t2,DN_NonamEVm001822
DN_NonamEVm001822t5,DN_NonamEVm001822
DN_NonamEVm001822t7,DN_NonamEVm001822
DN_NonamEVm001831t1,DN_NonamEVm001831
DN_NonamEVm001831t2,DN_NonamEVm001831
DN_NonamEVm001831t3,DN_NonamEVm001831
