TXNAME,GENEID
DN_NonamEVm001346t1,DN_NonamEVm001346
DN_NonamEVm001346t2,DN_NonamEVm001346
DN_NonamEVm001346t4,DN_NonamEVm001346
DN_NonamEVm001347t1,DN_NonamEVm001347
DN_NonamEVm001347t2,DN_NonamEVm001347
DN_NonamEVm001347t3,DN_NonamEVm001347
DN_NonamEVm001355t1,DN_NonamEVm001355
DN_NonamEVm001364t2,DN_NonamEVm001364
DN_NonamEVm001364t3,DN_NonamEVm001364
DN_NonamEVm001364t4,DN_NonamEVm001364
DN_NonamEVm001364t7,DN_NonamEVm001364
DN_NonamEVm001372t1,DN_NonamEVm001372
DN_NonamEVm001372t2,DN_NonamEVm001372
DN_NonamEVm001375t1,DN_NonamEVm001375
DN_NonamEVm001375t2,DN_NonamEVm001375
DN_NonamEVm001375t4,DN_NonamEVm001375
DN_NonamEVm001390t2,DN_NonamEVm001390
DN_NonamEVm001390t7,DN_NonamEVm001390
DN_NonamEVm001390t8,DN_NonamEVm001390
DN_NonamEVm001422t1,DN_NonamEVm001422
DN_NonamEVm001422t2,DN_NonamEVm001422
DN_NonamEVm001422t3,DN_NonamEVm001422
DN_NonamEVm001422t5,DN_NonamEVm001422
DN_NonamEVm001436t4,DN_NonamEVm001436
DN_NonamEVm001436t5,DN_NonamEVm001436
DN_NonamEVm001441t1,DN_NonamEVm001441
DN_NonamEVm001441t2,DN_NonamEVm001441
DN_NonamEVm001446t1,DN_NonamEVm001446
DN_NonamEVm001452t1,DN_NonamEVm001452
DN_NonamEVm001452t2,DN_NonamEVm001452
DN_NonamEVm001452t3,DN_NonamEVm001452
DN_NonamEVm001452t5,DN_NonamEVm001452
DN_NonamEVm001465t1,DN_NonamEVm001465
DN_NonamEVm001465t7,DN_NonamEVm001465
DN_NonamEVm001465t8,DN_NonamEVm001465
DN_NonamEVm001479t1,DN_NonamEVm001479
DN_NonamEVm001479t2,DN_NonamEVm001479
DN_NonamEVm001505t2,DN_NonamEVm001505
DN_NonamEVm001505t9,DN_NonamEVm001505
DN_NonamEVm001511t2,DN_NonamEVm001511
DN_NonamEVm001511t3,DN_NonamEVm001511
DN_NonamEVm001511t4,DN_NonamEVm001511
DN_NonamEVm001511t5,DN_NonamEVm001511
DN_NonamEVm001511t6,DN_NonamEVm001511
DN_NonamEVm001511t9,DN_NonamEVm001511
DN_NonamEVm001526t1,DN_NonamEVm001526
DN_NonamEVm001526t2,DN_NonamEVm001526
DN_NonamEVm001526t4,DN_NonamEVm001526
DN_NonamEVm001542t1,DN_NonamEVm001542
DN_NonamEVm001542t4,DN_NonamEVm001542
DN_NonamEVm001549t1,DN_NonamEVm001549
DN_NonamEVm001549t4,DN_NonamEVm001549
DN_NonamEVm001549t6,DN_NonamEVm001549
DN_NonamEVm001549t7,DN_NonamEVm001549
DN_NonamEVm001549t8,DN_NonamEVm001549
DN_NonamEVm001549t9,DN_NonamEVm001549
DN_NonamEVm001558t6,DN_NonamEVm001558
DN_NonamEVm001559t2,DN_NonamEVm001559
DN_NonamEVm001570t1,DN_NonamEVm001570
DN_NonamEVm001570t2,DN_NonamEVm001570
DN_NonamEVm001570t4,DN_NonamEVm001570
DN_NonamEVm001570t5,DN_NonamEVm001570
DN_NonamEVm001570t9,DN_NonamEVm001570
DN_NonamEVm001571t1,DN_NonamEVm001571
DN_NonamEVm001571t2,DN_NonamEVm001571
DN_NonamEVm001571t5,DN_NonamEVm001571
DN_NonamEVm001571t8,DN_NonamEVm001571
DN_NonamEVm001589t1,DN_NonamEVm001589
DN_NonamEVm001589t2,DN_NonamEVm001589
DN_NonamEVm001589t3,DN_NonamEVm001589
DN_NonamEVm001589t4,DN_NonamEVm001589
DN_NonamEVm001589t5,DN_NonamEVm001589
DN_NonamEVm001589t6,DN_NonamEVm001589
DN_NonamEVm001589t7,DN_NonamEVm001589
DN_NonamEVm001589t8,DN_NonamEVm001589
DN_NonamEVm001589t9,DN_NonamEVm001589
DN_NonamEVm001608t2,DN_NonamEVm001608
DN_NonamEVm001608t3,DN_NonamEVm001608
DN_NonamEVm001608t5,DN_NonamEVm001608
DN_NonamEVm001608t6,DN_NonamEVm001608
DN_NonamEVm001613t1,DN_NonamEVm001613
DN_NonamEVm001640t1,DN_NonamEVm001640
DN_NonamEVm001640t2,DN_NonamEVm001640
DN_NonamEVm001640t3,DN_NonamEVm001640
DN_NonamEVm001640t8,DN_NonamEVm001640
DN_NonamEVm001640t9,DN_NonamEVm001640
DN_NonamEVm001641t1,DN_NonamEVm001641
DN_NonamEVm001641t2,DN_NonamEVm001641
DN_NonamEVm001641t4,DN_NonamEVm001641
DN_NonamEVm001641t5,DN_NonamEVm001641
DN_NonamEVm001641t6,DN_NonamEVm001641
DN_NonamEVm001641t7,DN_NonamEVm001641
DN_NonamEVm001690t1,DN_NonamEVm001690
DN_NonamEVm001690t2,DN_NonamEVm001690
DN_NonamEVm001690t3,DN_NonamEVm001690
DN_NonamEVm001690t4,DN_NonamEVm001690
DN_NonamEVm001690t5,DN_NonamEVm001690
DN_NonamEVm001690t6,DN_NonamEVm001690
DN_NonamEVm001690t7,DN_NonamEVm001690
DN_NonamEVm001690t8,DN_NonamEVm001690
DN_NonamEVm001693t1,DN_NonamEVm001693
DN_NonamEVm001716t1,DN_NonamEVm001716
DN_NonamEVm001716t2,DN_NonamEVm001716
DN_NonamEVm001719t1,DN_NonamEVm001719
DN_NonamEVm001719t2,DN_NonamEVm001719
DN_NonamEVm001719t3,DN_NonamEVm001719
DN_NonamEVm001721t1,DN_NonamEVm001721
DN_NonamEVm001728t1,DN_NonamEVm001728
DN_NonamEVm001730t1,DN_NonamEVm001730
DN_NonamEVm001730t2,DN_NonamEVm001730
DN_NonamEVm001730t3,DN_NonamEVm001730
DN_NonamEVm001730t4,DN_NonamEVm001730
DN_NonamEVm001730t5,DN_NonamEVm001730
DN_NonamEVm001730t6,DN_NonamEVm001730
DN_NonamEVm001730t7,DN_NonamEVm001730
DN_NonamEVm001730t8,DN_NonamEVm001730
DN_NonamEVm001730t9,DN_NonamEVm001730
DN_NonamEVm001747t1,DN_NonamEVm001747
DN_NonamEVm001747t4,DN_NonamEVm001747
DN_NonamEVm001747t5,DN_NonamEVm001747
DN_NonamEVm001747t7,DN_NonamEVm001747
DN_NonamEVm001749t1,DN_NonamEVm001749
DN_NonamEVm001749t2,DN_NonamEVm001749
DN_NonamEVm001749t3,DN_NonamEVm001749
DN_NonamEVm001749t5,DN_NonamEVm001749
DN_NonamEVm001749t6,DN_NonamEVm001749
DN_NonamEVm001749t7,DN_NonamEVm001749
DN_NonamEVm001749t8,DN_NonamEVm001749
DN_NonamEVm001760t1,DN_NonamEVm001760
DN_NonamEVm001760t3,DN_NonamEVm001760
DN_NonamEVm001760t5,DN_NonamEVm001760
DN_NonamEVm001760t8,DN_NonamEVm001760
DN_NonamEVm001761t1,DN_NonamEVm001761
DN_NonamEVm001761t4,DN_NonamEVm001761
DN_NonamEVm001770t3,DN_NonamEVm001770
DN_NonamEVm001792t2,DN_NonamEVm001792
DN_NonamEVm001792t3,DN_NonamEVm001792
DN_NonamEVm001792t4,DN_NonamEVm001792
DN_NonamEVm001792t5,DN_NonamEVm001792
DN_NonamEVm001792t7,DN_NonamEVm001792
DN_NonamEVm001792t8,DN_NonamEVm001792
DN_NonamEVm001792t9,DN_NonamEVm001792
DN_NonamEVm001810t1,DN_NonamEVm001810
DN_NonamEVm001810t2,DN_NonamEVm001810
DN_NonamEVm001816t4,DN_NonamEVm001816
DN_NonamEVm001834t1,DN_NonamEVm001834
DN_NonamEVm001834t2,DN_NonamEVm001834
DN_NonamEVm001834t3,DN_NonamEVm001834
DN_NonamEVm001834t4,DN_NonamEVm001834
DN_NonamEVm001834t5,DN_NonamEVm001834
DN_NonamEVm001842t1,DN_NonamEVm001842
DN_NonamEVm001842t2,DN_NonamEVm001842
DN_NonamEVm001842t4,DN_NonamEVm001842
DN_NonamEVm001842t5,DN_NonamEVm001842
DN_NonamEVm001842t6,DN_NonamEVm001842
DN_NonamEVm001842t7,DN_NonamEVm001842
DN_NonamEVm001852t2,DN_NonamEVm001852
DN_NonamEVm001852t3,DN_NonamEVm001852
DN_NonamEVm001852t4,DN_NonamEVm001852
DN_NonamEVm001852t5,DN_NonamEVm001852
DN_NonamEVm001855t2,DN_NonamEVm001855
DN_NonamEVm001855t3,DN_NonamEVm001855
DN_NonamEVm001865t1,DN_NonamEVm001865
DN_NonamEVm001865t2,DN_NonamEVm001865
DN_NonamEVm001865t3,DN_NonamEVm001865
DN_NonamEVm001879t1,DN_NonamEVm001879
DN_NonamEVm001888t1,DN_NonamEVm001888
DN_NonamEVm001888t2,DN_NonamEVm001888
DN_NonamEVm001888t3,DN_NonamEVm001888
DN_NonamEVm001888t5,DN_NonamEVm001888
DN_NonamEVm001888t7,DN_NonamEVm001888
DN_NonamEVm001929t3,DN_NonamEVm001929
DN_NonamEVm001929t4,DN_NonamEVm001929
DN_NonamEVm001929t5,DN_NonamEVm001929
DN_NonamEVm001929t6,DN_NonamEVm001929
DN_NonamEVm001929t8,DN_NonamEVm001929
DN_NonamEVm001929t9,DN_NonamEVm001929
DN_NonamEVm001930t1,DN_NonamEVm001930
DN_NonamEVm001930t2,DN_NonamEVm001930
DN_NonamEVm001930t5,DN_NonamEVm001930
DN_NonamEVm001930t6,DN_NonamEVm001930
DN_NonamEVm001947t1,DN_NonamEVm001947
DN_NonamEVm001947t4,DN_NonamEVm001947
DN_NonamEVm001947t9,DN_NonamEVm001947
DN_NonamEVm001967t1,DN_NonamEVm001967
DN_NonamEVm001985t1,DN_NonamEVm001985
DN_NonamEVm001989t4,DN_NonamEVm001989
DN_NonamEVm001989t6,DN_NonamEVm001989
