TXNAME,GENEID
DN_NonamEVm001608t8,DN_NonamEVm001608
DN_NonamEVm001608t9,DN_NonamEVm001608
DN_NonamEVm001610t1,DN_NonamEVm001610
DN_NonamEVm001610t5,DN_NonamEVm001610
DN_NonamEVm001621t3,DN_NonamEVm001621
DN_NonamEVm001621t4,DN_NonamEVm001621
DN_NonamEVm001629t1,DN_NonamEVm001629
DN_NonamEVm001639t1,DN_NonamEVm001639
DN_NonamEVm001639t7,DN_NonamEVm001639
DN_NonamEVm001639t9,DN_NonamEVm001639
DN_NonamEVm001640t1,DN_NonamEVm001640
DN_NonamEVm001666t1,DN_NonamEVm001666
DN_NonamEVm001666t2,DN_NonamEVm001666
DN_NonamEVm001666t3,DN_NonamEVm001666
DN_NonamEVm001666t8,DN_NonamEVm001666
DN_NonamEVm001666t9,DN_NonamEVm001666
DN_NonamEVm001671t1,DN_NonamEVm001671
DN_NonamEVm001674t1,DN_NonamEVm001674
DN_NonamEVm001674t2,DN_NonamEVm001674
DN_NonamEVm001674t3,DN_NonamEVm001674
DN_NonamEVm001674t6,DN_NonamEVm001674
DN_NonamEVm001674t7,DN_NonamEVm001674
DN_NonamEVm001687t2,DN_NonamEVm001687
DN_NonamEVm001687t4,DN_NonamEVm001687
DN_NonamEVm001687t7,DN_NonamEVm001687
DN_NonamEVm001687t9,DN_NonamEVm001687
DN_NonamEVm001694t2,DN_NonamEVm001694
DN_NonamEVm001694t3,DN_NonamEVm001694
DN_NonamEVm001694t8,DN_NonamEVm001694
DN_NonamEVm001696t2,DN_NonamEVm001696
DN_NonamEVm001696t3,DN_NonamEVm001696
DN_NonamEVm001696t4,DN_NonamEVm001696
DN_NonamEVm001696t5,DN_NonamEVm001696
DN_NonamEVm001696t6,DN_NonamEVm001696
DN_NonamEVm001696t7,DN_NonamEVm001696
DN_NonamEVm001696t8,DN_NonamEVm001696
DN_NonamEVm001697t1,DN_NonamEVm001697
DN_NonamEVm001697t5,DN_NonamEVm001697
DN_NonamEVm001697t9,DN_NonamEVm001697
DN_NonamEVm001721t2,DN_NonamEVm001721
DN_NonamEVm001721t7,DN_NonamEVm001721
DN_NonamEVm001721t8,DN_NonamEVm001721
DN_NonamEVm001721t9,DN_NonamEVm001721
DN_NonamEVm001729t1,DN_NonamEVm001729
DN_NonamEVm001729t2,DN_NonamEVm001729
DN_NonamEVm001729t3,DN_NonamEVm001729
DN_NonamEVm001729t4,DN_NonamEVm001729
DN_NonamEVm001729t7,DN_NonamEVm001729
DN_NonamEVm001729t8,DN_NonamEVm001729
DN_NonamEVm001742t1,DN_NonamEVm001742
DN_NonamEVm001742t2,DN_NonamEVm001742
DN_NonamEVm001742t3,DN_NonamEVm001742
DN_NonamEVm001742t4,DN_NonamEVm001742
DN_NonamEVm001742t6,DN_NonamEVm001742
DN_NonamEVm001742t9,DN_NonamEVm001742
DN_NonamEVm001751t2,DN_NonamEVm001751
DN_NonamEVm001751t4,DN_NonamEVm001751
DN_NonamEVm001751t5,DN_NonamEVm001751
DN_NonamEVm001751t7,DN_NonamEVm001751
DN_NonamEVm001751t8,DN_NonamEVm001751
DN_NonamEVm001751t9,DN_NonamEVm001751
DN_NonamEVm001766t1,DN_NonamEVm001766
DN_NonamEVm001766t2,DN_NonamEVm001766
DN_NonamEVm001777t1,DN_NonamEVm001777
DN_NonamEVm001777t2,DN_NonamEVm001777
DN_NonamEVm001777t3,DN_NonamEVm001777
DN_NonamEVm001777t4,DN_NonamEVm001777
DN_NonamEVm001782t1,DN_NonamEVm001782
DN_NonamEVm001801t1,DN_NonamEVm001801
DN_NonamEVm001801t2,DN_NonamEVm001801
DN_NonamEVm001801t3,DN_NonamEVm001801
DN_NonamEVm001801t4,DN_NonamEVm001801
DN_NonamEVm001801t5,DN_NonamEVm001801
DN_NonamEVm001801t6,DN_NonamEVm001801
DN_NonamEVm001801t7,DN_NonamEVm001801
DN_NonamEVm001801t8,DN_NonamEVm001801
DN_NonamEVm001801t9,DN_NonamEVm001801
DN_NonamEVm001807t4,DN_NonamEVm001807
DN_NonamEVm001807t8,DN_NonamEVm001807
DN_NonamEVm001831t2,DN_NonamEVm001831
DN_NonamEVm001831t3,DN_NonamEVm001831
DN_NonamEVm001831t6,DN_NonamEVm001831
DN_NonamEVm001831t8,DN_NonamEVm001831
DN_NonamEVm001886t3,DN_NonamEVm001886
DN_NonamEVm001886t4,DN_NonamEVm001886
DN_NonamEVm001886t5,DN_NonamEVm001886
DN_NonamEVm001886t8,DN_NonamEVm001886
DN_NonamEVm001888t1,DN_NonamEVm001888
DN_NonamEVm001888t3,DN_NonamEVm001888
DN_NonamEVm001893t1,DN_NonamEVm001893
DN_NonamEVm001920t4,DN_NonamEVm001920
